total_count,index,x,y,point_type
21,0,37.143,-36.492,0
21,1,222.850,-366.830,0
21,2,148.488,-1532.326,0
21,3,-37.310,-2717.740,0
21,4,352.659,-3655.448,0
21,5,1522.737,-3640.404,0
21,6,2117.080,-3337.005,0
21,7,2562.867,-2610.368,0
21,8,2990.094,-1699.121,0
21,9,3844.450,-1447.833,0
21,10,4754.476,-2009.160,0
21,11,5125.864,-3094.986,0
21,12,5032.941,-4075.873,0
21,13,5162.890,-5053.894,0
21,14,5682.878,-5805.083,0
21,15,6760.060,-6345.775,0
21,16,7967.306,-5942.072,0
21,17,8301.664,-5105.958,0
21,18,5831.652,-2642.276,0
21,19,1485.754,-960.589,0
21,20,-222.904,-538.924,0
