total_count,start_heading,index,x,y,relative_yaw,heading,point_type
22,200.732000,0,-3085.227,0.000,0.378,189.721,3
22,200.732000,1,-5729.388,-7.705,-0.937,188.448,30
22,200.732000,2,-9418.988,121.881,-2.827,204.999,1
22,200.732000,3,-13134.569,956.052,-9.079,196.056,1
22,200.732000,4,-15923.544,1051.961,0.503,188.243,5
22,200.732000,5,-17770.832,1003.813,1.983,209.402,50
22,200.732000,6,-20864.934,893.772,1.926,199.481,0
22,200.732000,7,-22080.749,-603.710,27.748,199.839,7
22,200.732000,8,-21852.049,212.003,53.570,200.198,0
22,200.732000,9,-22265.447,-1320.617,90.807,195.353,0
22,200.732000,10,-20772.328,-2068.271,175.149,140.382,0
22,200.732000,11,-19184.791,-2066.641,-175.871,152.037,0
22,200.732000,12,-14215.210,-1840.537,-178.125,144.126,0
22,200.732000,13,-12302.727,-1595.382,-176.869,157.155,4
22,200.732000,14,-8831.881,-1422.568,-176.359,156.775,40
22,200.732000,15,-8342.378,-1335.093,-162.709,143.026,0
22,200.732000,16,-7485.750,-305.717,-117.982,166.405,0
22,200.732000,17,-7225.737,129.948,-135.707,156.295,0
22,200.732000,18,-6914.530,287.172,-169.785,136.721,0
22,200.732000,19,-6207.427,289.640,-178.214,154.595,2
22,200.732000,20,-3461.783,372.571,-179.319,153.674,20
22,200.732000,21,-186.675,577.339,-175.573,138.777,0
